video,country,continent,subcontinent,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
PAKKJSZjY34,NULL,Asia,NULL,12,0,0,0,0,0,0,0,16,0,84,18.77,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
sfF8BzoUVGw,IN,NULL,NULL,12,0,0,0,0,0,0,0,2,0,13,55.42,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
sfF8BzoUVGw,NULL,Asia,NULL,12,0,0,0,0,0,0,0,2,0,13,55.42,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
NULL,NULL,Americas,NULL,6644,37,0,213,0,0,0,0,13052,34,117,30.829999999999995,0,0,0,0,0,0,0,0.0,0.0,0,427,0,0,23,0
NULL,NULL,Asia,NULL,863,12,0,0,0,0,0,0,434,3,30,28.809999999999995,0,0,0,0,0,0,0,0.0,0.0,0,10,0,0,0,0
NULL,NULL,Europe,NULL,314,0,0,0,0,0,0,0,302,0,57,29.49,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
QMIadtys-rg,NULL,Americas,NULL,151,0,0,13,0,0,0,0,56,0,22,39.6,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
btDDSg_n65A,NULL,Americas,NULL,53,0,0,0,0,0,0,0,27,0,31,66.54,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
GJApEApVzNo,NULL,Asia,NULL,55,0,0,0,0,0,0,0,20,0,22,76.13,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
MTp5w7zmrRA,NULL,Asia,NULL,27,0,0,0,0,0,0,0,5,0,11,39.89,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
OMdpHaLLXDs,NULL,Asia,NULL,32,0,0,0,0,0,0,0,8,0,15,52.33,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
QMIadtys-rg,NULL,Asia,NULL,204,12,0,0,0,0,0,0,79,3,23,41.18,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
btDDSg_n65A,NULL,Asia,NULL,11,0,0,0,0,0,0,0,3,0,20,43.13,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
p3tyqqfKcfs,NULL,Asia,NULL,167,0,0,0,0,0,0,0,39,0,14,47.66,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
tNW2Y10a2II,NULL,Asia,NULL,38,0,0,0,0,0,0,0,7,0,12,41.66,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
